AdRevenue,Circulation
233.259,3.751
396.865,7.639
286.108,4.067
876.907,32.7
304.185,3.205
291.829,4.741
242.679,3.118
640.072,23.041
107.742,1.624
237.004,4.027
117.607,1.769
124.583,1.283
211.187,2.947
230.985,4.169
212.39,3.954
100.782,0.927
113.204,0.912
163.671,2.302
104.678,0.849
291.034,10.094
141.721,2.383
143.041,1.752
179.033,2.035
155.732,2.036
109.644,1.061
130.427,1.24
136.863,1.96
140.918,1.777
140.182,1.462
149.789,2.824
179.519,1.304
105.368,1.067
138.893,2.068
130.405,2.408
61.101,0.43
207.529,2.501
67.534,0.369
107.761,1.005
130.475,1.7
145.903,1.411
93.058,1.1
184.349,1.273
112.985,1.645
137.926,1.108
138.018,1.901
291.169,8.162
97.809,0.832
92.845,0.967
487.662,23.434
93.416,0.726
130.725,1.489
127.203,2
167.539,1.929
102.911,1.131
171.846,3.5
130.529,1.651
152.269,1.542
91.935,0.798
76.171,0.46
127.315,3.347
141.76,1.805
67.537,0.331
78.568,0.46
89.153,1.717
98.992,0.962
95.564,0.988
105.567,0.707
125.76,0.984
99.668,0.709
76.546,0.723
